codefuv;libelle;libellereduit;commune;inseecommune;nature;motdirecteur;categorie;codefantoir;importance;commentaire;datemiseajourattributs;codefuvactu;validite;libelleactu;domanialiteglobale;denomroute;datecreation;datemajdomaglobale;datemajgeometrie;datemajattribtroncon;dateabandondenom;localise		
34420;Rue Antoine Beroud;R Antoine Beroud;LYON 9EME;69389;Voie;BEROUD;RUE;6903890360A;moyenne rue;;09/08/2001;;Actuelle;;Métropole;;23/03/2000;13/05/2015;27/03/2012;27/03/2012;;Oui		
35265;Promenade Jacques Brel;Prom Jacques Brel;GRIGNY;69096;Voie;BREL;PROMENADE;6900960249D;petite rue;;03/02/2014;;Actuelle;;Métropole;;12/10/2006;13/05/2015;17/10/2006;30/10/2006;;Oui		
34727;Impasse de Bratislava;Imp de Bratislava;FEYZIN;69276;Voie;BRATISLAVA;IMPASSE;6902761082B;petite rue;;20/08/2004;;Actuelle;;Privé;;03/09/2003;13/05/2015;12/08/2014;09/01/2004;;Oui		
34726;Rue de Prague;R de Prague;FEYZIN;69276;Voie;PRAGUE;RUE;6902761078X;moyenne rue;;14/11/2011;;Actuelle;;Métropole;;03/09/2003;13/05/2015;12/08/2014;14/11/2011;;Oui		
34119;Autoroute A432 de A43 à A42;Aut A432 de A43 à A42;NIEVROZ;01276;Voie;A432;AUTOROUTE;;grand axe;;17/06/2005;;Actuelle;;État;;24/11/1997;13/05/2015;24/10/2013;09/03/2001;;Oui		
34309;Allée du Port de la Cadette;All du Port de la Cadette;RILLIEUX-LA-PAPE;69286;Voie;CADETTE;ALLEE;6902860608T;petite rue;Arreté municipal du 19/10/1998;18/07/2000;;Actuelle;;Privé;;30/03/1999;13/05/2015;19/05/2015;09/05/2000;;Oui		
34172;Impasse Pierre Leroux;Imp Pierre Leroux;DECINES-CHARPIEU;69275;Voie;LEROUX;IMPASSE;6902751007Z;petite rue;Info Mairie;20/07/1999;;Actuelle;;Privé;;25/02/1998;13/05/2015;11/04/2014;20/08/2007;;Oui		
34594;Allée Louis Vernin;All Louis Vernin;IRIGNY;69100;Voie;VERNIN;ALLEE;6901000418V;petite rue;Info Mairie Police Municipal;12/08/2002;;Actuelle;;Privé;;11/10/2001;13/05/2015;11/10/2001;20/02/2009;;Oui		
34410;Boulevard Marcel Yves André;Bd Marcel Yves André;RILLIEUX-LA-PAPE;69286;Voie;ANDRE;BOULEVARD;6902860487L;grande rue;arrete du 20 avril 1998;18/07/2000;;Actuelle;;Commune;;24/01/2000;13/05/2015;19/05/2015;25/05/2010;;Oui		
34257;Boulevard Périphérique Nord Extérieur;Bd Périphérique Nord Ext;VILLEURBANNE;69266;Voie;NORD;BOULEVARD;690266X030K;grand axe;;03/09/1999;;Actuelle;;Métropole;;02/11/1998;13/05/2015;28/10/2015;25/10/2002;;Oui		
34255;Boulevard Périphérique Nord Extérieur;Bd Périphérique Nord Ext;CALUIRE-ET-CUIRE;69034;Voie;NORD;BOULEVARD;690034X008V;grand axe;;03/09/1999;;Actuelle;;Métropole;;02/11/1998;13/05/2015;16/10/2014;14/02/2000;;Oui		
35240;Avenue Jean Moulin;Av Jean Moulin;GRIGNY;69096;Voie;MOULIN;AVENUE;6900960285T;moyenne rue;;03/02/2014;;Actuelle;;Métropole (ex-RD);;14/09/2006;13/05/2015;29/06/2016;12/12/2014;;Oui		
34898;Autoroute A432 de A43 à A42;Aut A432 de A43 à A42;COLOMBIER-SAUGNIEU;69299;Voie;A432;AUTOROUTE;;grand axe;;09/10/2008;;Actuelle;;État;;14/06/2005;13/05/2015;21/06/2005;09/10/2008;;Oui		
34701;Rue Saint Jean;R St Jean;VILLEURBANNE;69266;Voie;JEAN;RUE;6902663685Z;petite rue;;23/01/2007;;Actuelle;;Métropole;;30/01/2003;13/05/2015;03/11/2015;30/01/2003;;Oui		
34418;Rue du Terrey;R du Terrey;SAINT-PRIEST;69290;Voie;TERREY;RUE;6902901427R;petite rue;Info Mairie;09/08/2001;;Actuelle;;Privé;;07/03/2000;13/05/2015;10/09/2015;11/04/2006;;Oui		
34433;Rue Colette;R Colette;VENISSIEUX;69259;Voie;COLETTE;RUE;6902590307H;petite rue;Info Mairie;09/08/2001;;Actuelle;;Métropole;;23/05/2000;13/05/2015;23/05/2000;15/12/2008;;Oui		
28345;Rue Sainte Croix;R Ste Croix;LYON 5EME;69385;Voie;CROIX;RUE;6903856620X;petite rue;;13/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27256;Allée des Marronniers;All des Marronniers;LYON 1ER;69381;Voie;MARRONNIERS;ALLEE;6903814600U;petite rue;;09/09/1996;;Actuelle;;Privé;;27/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27258;Boulevard de la Croix-Rousse;Bd de la Croix-Rousse;LYON 1ER;69381;Voie;ROUSSE;BOULEVARD;6903812005Y;grande rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;04/03/2016;11/05/2010;;Oui		
27259;Cours Général Giraud;Crs Gal Giraud;LYON 1ER;69381;Voie;GIRAUD;COURS;6903813130W;grande rue;;09/09/1996;;Actuelle;;Métropole;;27/04/1986;13/05/2015;04/04/2016;18/01/2010;;Oui		
27260;Grande Rue des Feuillants;Grande R des Feuillants;LYON 1ER;69381;Voie;FEUILLANTS;RUE;6903812745C;petite rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;09/03/2016;12/08/1998;;Oui		
27262;Impasse Beauregard;Imp Beauregard;LYON 1ER;69381;Voie;BEAUREGARD;IMPASSE;6903810755P;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;01/01/1996;18/06/1997;;Oui		
27263;Impasse Charbonnière;Imp Charbonnière;LYON 1ER;69381;Voie;CHARBONNIERE;IMPASSE;6903811465L;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27264;Impasse de la Fromagerie;Imp de la Fromagerie;LYON 1ER;69381;Voie;FROMAGERIE;IMPASSE;6903812910G;;;06/06/1996;;Actuelle;;En attente;;23/04/1986;13/05/2015;;;;Non		
27265;Impasse de la Pêcherie;Imp de la Pêcherie;LYON 1ER;69381;Voie;PECHERIE;IMPASSE;6903815320B;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;02/03/2016;01/01/1996;;Oui		
27266;Impasse de la Verrerie;Imp de la Verrerie;LYON 1ER;69381;Voie;VERRERIE;IMPASSE;6903817335S;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27267;Impasse de la Vieille;Imp de la Vieille;LYON 1ER;69381;Voie;VIEILLE;IMPASSE;6903817425P;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;03/03/2016;15/06/2007;;Oui		
27268;Impasse de Vauzelles;Imp de Vauzelles;LYON 1ER;69381;Voie;VAUZELLES;IMPASSE;6903817290T;petite rue;;09/09/1996;;Actuelle;;Privé;;27/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27269;Impasse des Capucins;Imp des Capucins;LYON 1ER;69381;Voie;CAPUCINS;IMPASSE;6903811239R;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;07/03/2016;01/01/1996;;Oui		
27270;Impasse des Carmélites;Imp des Carmélites;LYON 1ER;69381;Voie;CARMELITES;IMPASSE;6903811250C;;;06/06/1996;;Supprimé;;;;23/04/1986;;;;17/12/1991;Non		
27271;Impasse des Chartreux;Imp des Chartreux;LYON 1ER;69381;Voie;CHARTREUX;IMPASSE;6903811540T;petite rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;04/02/1998;25/09/2003;;Oui		
27272;Impasse des Pierres Plantées;Imp des Pierres Plantées;LYON 1ER;69381;Voie;PLANTEES;IMPASSE;6903815540R;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27273;Impasse du Bon Pasteur;Imp du Bon Pasteur;LYON 1ER;69381;Voie;PASTEUR;IMPASSE;6903810975D;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;01/01/1996;10/05/2005;;Oui		
27274;Impasse du Mont Sauvage;Imp du Mont Sauvage;LYON 1ER;69381;Voie;SAUVAGE;IMPASSE;6903814845K;;;06/06/1996;;Actuelle;;En attente;;23/04/1986;13/05/2015;;;;Non		
27276;Impasse Flesselles;Imp Flesselles;LYON 1ER;69381;Voie;FLESSELLES;IMPASSE;6903812780R;petite rue;;09/09/1996;;Actuelle;;Métropole;;27/04/1986;13/05/2015;01/01/1996;25/09/2003;;Oui		
27277;Impasse Gonin;Imp Gonin;LYON 1ER;69381;Voie;GONIN;IMPASSE;6903813270Y;petite rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;01/01/1996;11/03/2013;;Oui		
27278;Impasse Neyret;Imp Neyret;LYON 1ER;69381;Voie;NEYRET;IMPASSE;6903815025F;;;06/06/1996;;Actuelle;;En attente;;23/04/1986;13/05/2015;;;;Non		
27280;Impasse Sergent Blandan;Imp Sgt Blandan;LYON 1ER;69381;Voie;BLANDAN;IMPASSE;6903816730J;petite rue;;09/09/1996;;Actuelle;;Privé;;27/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27281;Impasse Saint Polycarpe;Imp St Polycarpe;LYON 1ER;69381;Voie;POLYCARPE;IMPASSE;6903816530S;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;14/03/2016;21/07/2003;;Oui		
27282;Impasse Tavernier;Imp Tavernier;LYON 1ER;69381;Voie;TAVERNIER;IMPASSE;6903816895N;petite rue;;09/09/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;01/01/1996;27/06/1997;;Oui		
27288;Montée Bonafous;Mte Bonafous;LYON 1ER;69381;Voie;BONAFOUS;MONTEE;6903810985P;petite rue;;09/09/1996;;Actuelle;;Métropole;;27/04/1986;13/05/2015;02/03/2016;01/01/1996;;Oui		
27289;Montée du Boulevard;Mte du Boulevard;LYON 1ER;69381;Voie;BOULEVARD;MONTEE;6903811055R;petite rue;;09/09/1996;;Actuelle;;Métropole;;27/04/1986;13/05/2015;02/03/2016;29/07/1998;;Oui		
27290;Montée Coquillat;Mte Coquillat;LYON 1ER;69381;Voie;COQUILLAT;MONTEE;6903811910V;petite rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;04/03/2016;01/01/1996;;Oui		
27291;Montée de l'Amphithéâtre;Mte de l'Amphithéâtre;LYON 1ER;69381;Voie;AMPHITHEATRE;MONTEE;6903810235Z;petite rue;;15/11/2000;;Actuelle;;Métropole;;23/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27292;Montée de la Butte;Mte de la Butte;LYON 1ER;69381;Voie;BUTTE;MONTEE;6903811160E;petite rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;02/03/2016;06/11/2007;;Oui		
27293;Montée de la Grande Côte;Mte de la Grande Côte;LYON 1ER;69381;Voie;COTE;MONTEE;6903813305L;moyenne rue;;16/11/2000;;Actuelle;;Métropole;;23/04/1986;13/05/2015;07/03/2016;24/09/2003;;Oui		
27294;Montée de Vauzelles;Mte de Vauzelles;LYON 1ER;69381;Voie;VAUZELLES;MONTEE;6903817295Y;petite rue;;09/09/1996;;Actuelle;;Métropole;;27/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27295;Montée des Carmélites;Mte des Carmélites;LYON 1ER;69381;Voie;CARMELITES;MONTEE;6903811255H;petite rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;07/03/2016;07/02/2000;;Oui		
27297;Montée Hoche;Mte Hoche;LYON 1ER;69381;Voie;HOCHE;MONTEE;6903813560N;petite rue;;09/09/1996;;Actuelle;;Métropole;;27/04/1986;13/05/2015;01/01/1996;01/01/1996;;Oui		
27298;Montée Lieutenant Allouche;Mte Lt Allouche;LYON 1ER;69381;Voie;ALLOUCHE;MONTEE;6903814225L;petite rue;;09/09/1996;;Actuelle;;Métropole;;27/04/1986;13/05/2015;04/03/2016;22/12/2008;;Oui		
27299;Montée Neyret;Mte Neyret;LYON 1ER;69381;Voie;NEYRET;MONTEE;6903815030L;petite rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;07/03/2016;01/01/1996;;Oui		
27300;Montée Saint Sébastien;Mte St Sébastien;LYON 1ER;69381;Voie;SEBASTIEN;MONTEE;6903816560Z;moyenne rue;;06/06/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;07/03/2016;03/11/2008;;Oui		
27301;Passage de la Soie;Pas de la Soie;LYON 1ER;69381;Voie;SOIE;PASSAGE;6903816795E;petite rue;;17/12/1996;;Historique;;;;23/04/1986;;06/03/2001;06/03/2001;06/03/2001;Oui		
27302;Passage des Terreaux;Pas des Terreaux;LYON 1ER;69381;Voie;TERREAUX;PASSAGE;6903816948W;petite rue;;17/12/1996;;Actuelle;;Privé;;23/04/1986;13/05/2015;28/05/2001;28/05/2001;;Oui		
27304;Passerelle Saint Vincent;Ple St Vincent;LYON 1ER;69381;Voie;VINCENT;PASSERELLE;6903816583Z;petite rue;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;15/11/2000;15/11/2000;;Oui		
27305;Place Bellevue;Pl Bellevue;LYON 1ER;69381;Voie;BELLEVUE;PLACE;6903810825R;grande place;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;04/03/2016;11/05/2010;;Oui		
27306;Place Chardonnet;Pl Chardonnet;LYON 1ER;69381;Voie;CHARDONNET;PLACE;6903811470S;moyenne place;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;07/03/2016;23/09/2003;;Oui		
27307;Place Colbert;Pl Colbert;LYON 1ER;69381;Voie;COLBERT;PLACE;6903811780D;grande place;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;07/03/2016;18/06/1997;;Oui		
27308;Place Croix-Paquet;Pl Croix-Paquet;LYON 1ER;69381;Voie;PAQUET;PLACE;6903812000T;petite place;;09/09/1996;;Actuelle;;Métropole;;23/04/1986;13/05/2015;09/03/2016;06/04/2004;;Oui		
